,NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_ST_CONCLUSAO,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025,Q026,Q027,Q028,Q042,Q043,Q044,Q045,Q046,Q047,Q048,Q049,Q050
1470000,-0.10419433962264153,0.5,-0.03933596728356554,-0.21528,0.40723333333333334,-0.20845000000000002,0.0,0.8739,625.3,601.5,519.4,595.6,580.0,0.875,0.875,0.8333333333333334,0.6666666666666666,-0.05013684210526315,0.7647058823529411,0.25,0.6,0.8,0.6,0.2,0.4,0.4,0.4,0.2,0.4,0.2,0.4,0.4,0.5,0.5,0.6,1.0,0.4,1.0,0.3333333333333333,0.0,0.0,0.375,0.25,0.3333333333333333,0.25,0.75,0.8,0.25,0.3333333333333333,0.25
1470001,-0.028722641509433988,1.0,-0.03933596728356554,0.18472,-0.25943333333333335,-0.20845000000000002,0.0,-0.1261,650.3,613.9,611.0,771.3,720.0,0.5,0.375,0.6666666666666666,1.0,0.05512631578947369,0.4117647058823529,0.25,0.6,0.8,0.4,0.2,0.4,0.2,0.4,0.2,0.4,0.2,0.2,0.4,0.5,0.5,1.0,1.0,0.4,1.0,0.6666666666666666,0.3076923076923077,0.8,0.125,0.25,0.3333333333333333,0.25,0.25,0.2,0.25,0.3333333333333333,0.25
1470002,-0.04759056603773587,1.0,-0.03933596728356554,-0.21528,0.07390000000000001,0.29155,-0.07050898203592815,-0.1261,566.6,485.2,545.0,433.6,640.0,0.75,0.875,0.6666666666666666,0.8333333333333334,-0.05013684210526315,0.6470588235294118,0.25,0.6,0.6,0.4,0.2,0.4,0.2,0.4,0.2,0.4,0.2,0.2,0.6,1.0,1.0,0.8,1.0,0.4,1.0,0.3333333333333333,0.0,0.0,0.25,0.25,0.3333333333333333,0.25,0.5,0.2,0.25,0.3333333333333333,0.5
1470004,-0.10419433962264153,1.0,-0.03933596728356554,0.18472,0.40723333333333334,-0.20845000000000002,0.0,0.8739,468.0,474.8,508.2,416.9,540.0,1.0,0.375,1.0,0.3333333333333333,-0.05013684210526315,0.23529411764705882,1.0,0.4,0.8,0.2,0.2,0.4,0.4,0.4,0.4,0.2,0.2,0.2,0.4,1.0,0.5,0.6,0.5,0.4,1.0,0.3333333333333333,0.0,0.0,0.125,0.25,0.3333333333333333,0.25,0.75,0.2,0.25,0.3333333333333333,0.25
1470005,0.4052396226415094,0.5,0.2939973660497678,-0.21528,0.7405666666666667,-0.20845000000000002,0.0,-0.1261,526.1,549.8,489.4,486.4,420.0,0.25,0.25,0.5,0.5,0.05512631578947369,0.29411764705882354,0.25,0.4,0.6,0.4,0.2,0.4,0.4,0.4,0.2,0.4,0.2,0.2,0.4,0.5,1.0,0.8,0.5,0.2,1.0,1.0,0.07692307692307693,1.0,0.125,0.25,0.6666666666666666,0.5,1.0,0.2,0.25,1.0,0.75
1470006,-0.08532641509433965,0.5,-0.03933596728356554,-0.21528,0.07390000000000001,0.79155,-0.07050898203592815,-0.1261,574.7,621.0,584.9,745.9,540.0,0.75,0.75,0.8333333333333334,0.8333333333333334,0.05512631578947369,1.0,0.25,0.6,0.8,0.4,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.2,0.6,1.0,1.0,1.0,0.5,0.6,1.0,0.3333333333333333,0.0,0.0,0.375,0.25,0.3333333333333333,0.25,0.5,0.8,0.25,0.3333333333333333,0.25
1470007,-0.06645849056603777,0.5,-0.03933596728356554,-0.21528,0.07390000000000001,0.29155,-0.07050898203592815,-0.1261,555.6,696.0,541.5,677.5,760.0,0.625,0.625,0.6666666666666666,0.5,-0.10276842105263158,0.11764705882352941,0.25,0.6,0.6,0.2,0.2,0.4,0.2,0.4,0.2,0.4,0.2,0.4,0.4,1.0,0.5,0.6,1.0,0.4,1.0,0.3333333333333333,0.0,0.0,0.125,0.25,0.3333333333333333,0.25,0.5,0.2,0.25,0.3333333333333333,0.25
1470008,-0.08532641509433965,1.0,-0.03933596728356554,-0.21528,0.07390000000000001,0.29155,-0.07050898203592815,-0.1261,510.4,565.0,489.9,493.3,480.0,0.75,0.625,0.6666666666666666,0.6666666666666666,0.05512631578947369,0.4117647058823529,0.25,0.6,0.8,0.6,0.2,0.4,0.4,0.4,0.2,0.4,0.2,0.4,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,0.23076923076923078,0.4,0.125,0.25,0.3333333333333333,0.25,0.5,0.2,1.0,0.3333333333333333,0.25
1470009,-0.08532641509433965,0.5,-0.03933596728356554,-0.21528,0.07390000000000001,0.79155,-0.07050898203592815,-0.1261,577.8,610.9,560.3,468.7,620.0,0.75,0.625,0.8333333333333334,1.0,0.0024947368421052688,0.5294117647058824,0.25,0.6,0.6,0.4,0.2,0.4,0.2,0.4,0.2,0.4,0.2,0.4,0.4,0.5,0.5,0.6,1.0,0.4,1.0,0.3333333333333333,0.0,0.0,0.375,0.25,0.3333333333333333,0.25,0.5,1.0,0.25,0.3333333333333333,0.25
1470010,-0.08532641509433965,1.0,-0.03933596728356554,-0.21528,0.07390000000000001,0.29155,-0.07050898203592815,-0.1261,538.3,601.6,591.0,622.0,760.0,0.5,0.625,0.5,0.5,0.0024947368421052688,0.17647058823529413,0.25,0.4,0.8,0.4,0.4,0.4,0.4,0.4,0.2,0.4,0.2,0.4,0.4,1.0,0.5,0.8,1.0,0.6,1.0,0.3333333333333333,0.0,0.0,0.125,0.25,0.6666666666666666,0.25,0.5,0.2,0.25,0.6666666666666666,0.25
